OverallRank,State,TotalScore,"Delta in Overall Rank vs. March 2, 2021"
1,Iowa,95.97,0
2,Florida,90.7,6
3,Wyoming,90.16,21
4,South Dakota,89.15,1
5,Texas,88.37,28
6,Alaska,87.83,0
7,South Carolina,87.02,-5
8,Oklahoma,85.66,-5
9,Mississippi,85.66,13
10,Montana,84.11,0
11,Idaho,82.95,-7
12,Missouri,82.17,0
13,Arkansas,81.78,0
14,Nebraska,81.01,1
15,Arizona,80.85,10
16,Tennessee,80.62,-7
17,North Dakota,80.27,-6
18,Utah,79.5,-11
19,Wisconsin,78.92,-5
20,West Virginia,76.47,6
21,Alabama,74.03,-5
22,New Hampshire,70.16,0
23,Indiana,68.53,-3
24,Georgia,68.22,-7
25,Kansas,68.06,-7
26,Maryland,56.43,1
27,Louisiana,47.36,-8
28,North Carolina,47.13,17
29,Ohio,46.94,-6
30,Nevada,46.43,-1
31,Kentucky,45.97,-3
32,Colorado,44.96,11
33,New Mexico,41.32,11
34,Illinois,40.19,-4
35,Oregon,39.77,0
36,Pennsylvania,39.46,-4
37,Hawaii,37.29,11
38,Massachusetts,36.28,8
39,Michigan,35.89,-8
40,Minnesota,35.74,-6
41,New Jersey,35,-5
42,Rhode Island,33.02,-4
43,Maine,32.02,-3
44,Connecticut,32.02,-2
45,California,31.86,2
46,Washington,31.24,-4
47,New York,31.24,-7
48,Virginia,28.92,3
49,Delaware,28.57,-12
50,District of Columbia,20,-1
51,Vermont,18.84,-1